Raw_Frame,Manual_Hamming_Windowed
9.248664056826783e-09,7.87569546549569e-09
9.66821467329737e-09,8.181066314344955e-09
8.410308893758156e-09,7.070865852217138e-09
8.683353591720788e-09,7.25250733079827e-09
1.5720386770112782e-08,1.3042074515550548e-08
8.305516274731417e-09,6.843452584929986e-09
8.180955468617412e-09,6.693911183199529e-09
5.76384096007132e-09,4.682707029800471e-09
7.977297045158593e-09,6.434151959184415e-09
1.0784038551037156e-08,8.633932972189584e-09
1.4054700514520846e-08,1.116815236897513e-08
1.7862571866089638e-08,1.4085642927787938e-08
-1.1888132700477172e-09,-9.301636986679053e-10
2.123970688217014e-08,1.648720596390675e-08
-5.384937828978309e-09,-4.146402128313299e-09
-2.6275253084406813e-09,-2.0066370088165574e-09
1.0843743680766238e-08,8.212416360463129e-09
-1.2910907898344703e-09,-9.695194737016176e-10
-4.29243396382617e-09,-3.1955767087415202e-09
8.036733056826506e-09,5.9307342765451845e-09
-6.72140210156158e-09,-4.9159687337200035e-09
-2.8915581040678262e-09,-2.0957431800368655e-09
6.471238656047262e-09,4.647149236312915e-09
-5.201215902417289e-09,-3.700265379990095e-09
-7.932259293852439e-10,-5.589705890453429e-10
-6.478135805565444e-10,-4.5210674863963086e-10
-1.1852751669039208e-08,-8.191121575413872e-09
1.7162871124298817e-09,1.1743059448188645e-09
1.898100787656176e-09,1.285615576363437e-09
3.056530140099767e-09,2.04905678911331e-09
5.73715519536222e-10,3.8061665386250906e-10
7.990149875070074e-09,5.244980834304836e-09
-3.5435991918575382e-09,-2.3012445079045445e-09
4.5948063132073e-09,2.9515180815270415e-09
1.0956807905415644e-08,6.960696523525649e-09
-1.6725574258913412e-09,-1.0506786488626551e-09
-2.415343702821815e-09,-1.500089878953495e-09
-4.875583492491842e-09,-2.993250811890805e-09
-8.317268651580889e-09,-5.046654123502184e-09
4.293508215624797e-09,2.574358144956411e-09
-8.541904072956186e-09,-5.060252475431881e-09
5.573846273421168e-09,3.2618177494217486e-09
-3.251134472748163e-09,-1.879111831412964e-09
2.451125968860879e-09,1.3990121488146667e-09
4.1146246410050935e-09,2.3187225907251944e-09
1.5411716347557558e-08,8.57346195160138e-09
3.5737146575343104e-10,1.9621627955438355e-10
-6.284540887691037e-09,-3.4050329961236558e-09
9.94017135269587e-09,5.313690530738252e-09
-2.8261069040524944e-09,-1.4902768302748348e-09
3.844621954129934e-09,1.9995334814871258e-09
5.940495317879879e-10,3.046592754492248e-10
8.552991204169302e-09,4.324598967010966e-09
-5.899527533159699e-10,-2.9403552010218364e-10
8.686919628075884e-09,4.266985018965001e-09
-1.3767555984145474e-08,-6.663497335020418e-09
1.6770369537510987e-09,7.996403386178906e-10
-3.794008662794113e-09,-1.781857599119619e-09
-9.217878904621557e-09,-4.26327669569225e-09
-5.526555213464235e-09,-2.516630276122532e-09
-5.51057599551541e-09,-2.4701772646163734e-09
-4.28550350761725e-09,-1.8906552304979944e-09
6.536074348417742e-09,2.8373915867169885e-09
-9.588309701769049e-09,-4.094943435077297e-09
-6.7270899961613395e-09,-2.825840972651741e-09
-8.096749049002483e-09,-3.344692283019891e-09
3.3298697132977395e-11,1.3524071177102185e-11
1.5099708150501101e-09,6.028267548712224e-10
2.9171389748228194e-09,1.1445459482477222e-09
3.759503819367183e-09,1.4493275086462386e-09
-4.3974019980908e-09,-1.6653257074962986e-09
-7.289482795158619e-09,-2.7112730381028036e-09
-5.331952657172678e-10,-1.9473421829506093e-10
-8.156366249068014e-09,-2.9244049643751995e-09
-1.2786502523454146e-08,-4.4996858247146385e-09
2.9849442917395663e-09,1.0307672197310943e-09
-8.284480879083844e-10,-2.8066448272304047e-10
2.8199487189795036e-10,9.370538871900919e-11
