MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
1.4936754,1.8989226,-2.2941134,-0.609667,1.029402,0.3359082,-2.1490216,-0.0755967,0.30370513,-1.5676606,1.3526845,1.3304324,-1.0000637
1.2540184,1.837117,-1.9732449,-0.47244126,1.742618,0.12912992,-1.9338887,0.47745574,0.9543621,-1.0920341,0.09420231,0.08670603,-2.1291752
1.1168242,1.839405,-1.8699819,-0.4835403,1.0985107,-0.15060717,-1.4645885,1.345406,2.1217816,-1.035378,-1.4176289,0.988507,-1.6975787
1.0456766,1.7633178,-1.6389723,-0.8769018,1.0239588,-0.42961815,-1.5191855,1.7833593,2.378237,-0.9764335,-1.1803374,1.7803379,-1.7789143
0.8685404,1.7202404,-1.8269442,-1.288208,1.1538538,0.0994194,-1.3684347,1.5180641,1.896125,-1.3598052,-0.79222906,1.9820205,-1.1769556
0.8703113,0.4158134,-0.09450455,-1.9284493,1.6042907,0.5657663,-1.5947005,1.1434264,-0.35583216,-0.4661534,0.16018192,0.15908886,0.6898208
0.9532524,-1.2866064,1.6259861,0.14367136,0.5124589,1.7505047,-0.5369225,-1.9172816,-1.2544365,-0.012943894,-0.6038085,-1.1908458,-0.22132939
1.025848,-1.538543,1.6808652,1.0057673,-0.05371226,1.27738,-0.4633912,-2.3849623,-0.7733323,-0.19295517,-0.6758089,-0.7149372,-0.8210585
0.97240114,-1.2032834,0.96754336,1.2853316,-0.6012619,0.96552235,-0.058505066,-1.8585261,-0.24731226,-0.31985205,-0.8718118,0.607136,-0.29888445
0.77922136,-0.96997094,0.38219753,1.3290665,-0.63851,1.2006341,0.22726099,-1.4702678,-0.05040978,0.26088876,-0.15664878,0.8325655,0.43577245
0.5388598,-0.84748435,0.7334272,1.0447508,-0.97952294,1.0193969,0.08774192,-1.6662481,-0.7747787,0.23285317,0.9217133,0.95226455,0.6522271
0.3972672,-1.0151097,0.96560663,1.1246531,-0.8045191,1.1760107,-0.009493377,-0.92216045,-0.11100453,0.22440831,0.41588515,0.53374976,0.48862135
0.28837568,-1.1075782,0.80488753,1.3741999,-0.6152115,1.472301,0.042295557,-0.12769637,0.57416874,0.39903557,0.8166069,1.1902897,0.60651666
0.12077114,-0.96799105,0.57472616,1.6968333,-0.85409117,1.6603576,0.12231079,-0.03240578,0.90591305,0.8444927,0.71481794,1.0723807,0.26413724
-0.123044744,-0.7241239,0.17688186,1.9276633,-1.1168965,1.4136907,0.68687814,-0.27907476,0.4594346,0.9753414,1.7710379,1.1730283,0.17843522
-0.45317614,-0.31347376,-0.045751657,1.7344488,-1.4015697,0.8900921,0.8059748,-0.80519474,-0.6415295,1.0835487,2.22727,0.8724188,0.92097825
-0.8670917,0.06193997,0.24747892,0.6313344,-0.5862146,0.21776356,1.4012511,-0.67774934,-0.71609694,1.1752108,1.9114795,0.1436315,1.0622692
-1.0121559,-0.12047159,0.34991676,0.023721846,0.58310455,0.15579116,1.1711521,1.0193452,0.11824311,1.0058851,0.95656306,-0.2897171,1.1776592
-1.0356652,-0.22936986,0.17577204,-0.22257033,0.39786056,0.11333188,1.1094534,0.999434,0.13621339,0.82201326,0.62902665,-0.18017593,1.1764276
-1.0442919,-0.28292754,0.04211925,-0.42385277,0.123471044,-0.086116545,0.9330851,0.58794385,-0.23734029,0.5625411,0.06224706,-0.56991005,0.87878525
-1.0519623,-0.33060586,-0.07728729,-0.6047538,-0.12520118,-0.26882458,0.7693793,0.1999971,-0.5959316,0.30830425,-0.50601125,-0.9707513,0.563958
