0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92
-80.0,-78.7345,-77.745094,-80.0,-80.0,-79.577545,-78.02521,-79.324234,-79.28479,-78.28897,-78.640656,-71.42286,-70.659004,-72.283615,-69.25586,-69.57435,-69.18716,-73.3464,-74.546074,-71.98974,-67.9836,-64.5341,-66.714584,-73.449265,-70.336815,-67.40475,-73.138176,-71.23499,-74.25639,-71.34656,-71.94381,-70.32987,-73.39586,-71.7559,-69.42216,-67.31738,-66.962425,-67.9157,-69.827286,-67.84696,-69.20583,-74.104416,-79.40639,-80.0,-74.06366,-70.682846,-73.17707,-76.33411,-76.78021,-73.72114,-68.434784,-68.75461,-70.712906,-67.776855,-66.95914,-71.828255,-70.328804,-70.13323,-73.82699,-76.32802,-69.62187,-65.68254,-69.61065,-70.12712,-66.719505,-67.45333,-71.39065,-77.61413,-74.79446,-75.53424,-78.98334,-79.05948,-76.91616,-76.49679,-78.73808,-79.81426,-79.818985,-80.0,-78.69453,-69.40356,-63.33031,-61.80854,-62.249622,-57.50755,-60.98118,-75.1524,-79.12255,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.35134,-75.99553,-77.03698,-76.27454,-71.09283,-70.53619,-68.81549,-73.0367,-74.91222,-73.55561,-71.02158,-67.13806,-68.94443,-75.70164,-76.17334,-73.13344,-74.76455,-71.4142,-74.6284,-71.94536,-71.39308,-68.13392,-71.654274,-73.00848,-69.944756,-69.0592,-69.31997,-71.66138,-75.72101,-69.67532,-70.18958,-75.18323,-80.0,-80.0,-73.06183,-69.67597,-74.47125,-78.165855,-77.84648,-74.31251,-69.83547,-70.32882,-71.80889,-68.47929,-67.39349,-73.11133,-70.713135,-69.206955,-73.72749,-77.56605,-69.640884,-68.272514,-72.594215,-70.39463,-67.39665,-69.599815,-74.52992,-80.0,-80.0,-79.02253,-79.245865,-79.496506,-80.0,-79.874916,-80.0,-80.0,-80.0,-80.0,-80.0,-73.39161,-66.88449,-64.83927,-63.294575,-57.56248,-60.616455,-73.639046,-77.91145,-79.79329,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.198395,-79.54851,-78.87089,-78.77013,-75.69128,-72.87368,-73.99028,-78.06594,-72.920586,-71.48902,-71.70924,-74.96082,-79.88965,-79.30646,-78.25252,-73.08219,-71.430984,-75.80821,-76.94573,-73.55255,-72.920746,-70.16876,-75.40573,-71.37261,-71.97328,-69.06103,-73.19675,-76.70104,-75.708405,-73.37019,-72.009995,-74.17572,-78.303986,-75.360954,-73.32111,-74.61094,-80.0,-80.0,-79.69683,-76.83765,-75.65879,-77.78137,-78.50272,-75.429535,-70.81373,-70.16394,-70.7913,-69.53559,-69.22945,-74.765976,-71.34459,-70.54591,-76.99756,-80.0,-74.0489,-69.84927,-73.33786,-70.80658,-67.9404,-71.528336,-77.15749,-80.0,-80.0,-79.781845,-80.0,-80.0,-80.0,-80.0,-79.97159,-80.0,-80.0,-80.0,-80.0,-76.46607,-72.17967,-69.503716,-67.861244,-64.04473,-67.81104,-76.69043,-76.73166,-78.15777,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.41603,-76.902725,-77.44292,-77.68069,-72.95773,-73.774124,-77.720085,-77.159004,-77.190956,-74.80854,-76.75897,-74.56041,-72.4266,-78.0211,-77.57942,-73.75434,-76.78363,-80.0,-74.97012,-73.429886,-70.08226,-75.017395,-72.47694,-71.699295,-69.22326,-72.38865,-74.91815,-78.43216,-73.60826,-72.66915,-74.963394,-75.98911,-74.07388,-73.81903,-77.033165,-80.0,-80.0,-80.0,-75.968925,-74.449974,-77.60811,-80.0,-75.88825,-70.37365,-71.321594,-73.20177,-71.035835,-70.68279,-74.39521,-72.112564,-73.08317,-78.066734,-78.0754,-69.92727,-69.01458,-73.477806,-71.65089,-69.194984,-72.50259,-77.81205,-80.0,-80.0,-77.32553,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.13477,-71.66519,-70.78502,-71.01479,-68.454475,-73.4316,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.79352,-78.127686,-78.28204,-78.766594,-80.0,-75.7937,-74.57847,-72.78855,-74.62617,-75.15247,-73.211876,-77.16133,-77.174126,-74.49758,-76.41476,-76.92241,-71.97082,-73.8767,-73.262825,-76.597755,-73.25445,-71.44104,-72.97232,-73.35697,-73.53859,-78.29448,-74.89497,-75.61363,-79.82782,-78.473145,-75.59085,-74.90479,-76.43227,-80.0,-80.0,-78.42071,-75.310875,-77.05634,-80.0,-80.0,-75.94923,-73.10624,-74.9833,-74.07474,-71.62295,-71.83528,-72.76295,-71.88072,-72.70743,-76.484055,-80.0,-72.24737,-70.26085,-75.63579,-72.51687,-68.200035,-70.0325,-77.27836,-80.0,-80.0,-79.968956,-80.0,-80.0,-80.0,-77.47076,-78.973045,-80.0,-80.0,-80.0,-80.0,-74.383316,-70.185646,-70.595505,-71.70849,-66.98297,-70.68987,-78.13642,-79.196495,-78.973564,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-77.11487,-77.81871,-80.0,-79.25924,-73.47088,-73.17292,-73.57071,-75.37322,-72.93464,-71.68758,-75.91073,-74.05822,-76.891205,-80.0,-74.043304,-70.0333,-75.17211,-77.66363,-79.71424,-75.79778,-71.915085,-75.30237,-73.4414,-73.10931,-80.0,-76.79715,-76.14743,-79.17047,-80.0,-77.66447,-76.183464,-76.9988,-79.6024,-79.59508,-79.26387,-77.34067,-76.06394,-78.63409,-80.0,-76.670334,-74.365875,-74.19311,-73.849144,-72.77761,-71.272964,-71.915726,-71.13057,-73.57934,-79.46728,-78.36856,-70.29757,-68.93058,-75.037834,-71.03372,-67.1548,-69.85953,-77.04991,-80.0,-78.90994,-79.18605,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-76.37479,-72.67998,-71.793365,-72.33481,-66.77623,-70.255585,-78.48882,-80.0,-79.43965,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-78.64812,-77.86121,-80.0,-80.0,-73.09833,-72.4945,-75.16647,-77.825195,-77.7545,-75.50743,-78.49184,-75.504906,-76.13083,-79.97861,-76.90267,-72.73564,-76.67719,-75.84464,-76.61663,-77.11796,-73.298584,-76.722336,-75.07856,-73.56621,-79.0142,-74.48133,-74.775696,-79.92286,-80.0,-80.0,-79.85571,-79.02281,-79.57924,-79.11769,-80.0,-79.9496,-77.83639,-79.93811,-79.13828,-78.43706,-76.799065,-75.77991,-75.26802,-74.464584,-72.93307,-70.939514,-71.229195,-73.166115,-78.79772,-80.0,-72.853836,-69.93024,-74.897835,-74.035645,-70.41649,-72.488594,-77.43612,-80.0,-80.0,-79.987915,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-74.93121,-74.214935,-73.489914,-74.75648,-69.95422,-72.59284,-79.58868,-79.536224,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.12986,-78.542984,-80.0,-80.0,-75.21004,-74.97053,-77.225075,-80.0,-78.97075,-78.069336,-79.46557,-76.3862,-76.42126,-79.79568,-80.0,-77.779274,-77.69771,-74.44555,-75.18864,-74.19431,-75.21419,-77.6976,-73.827095,-73.04889,-78.81697,-72.08967,-72.71013,-80.0,-79.81085,-78.79729,-79.647606,-80.0,-80.0,-80.0,-80.0,-79.511765,-80.0,-80.0,-80.0,-77.39978,-76.37159,-78.733025,-76.65577,-77.6733,-75.97411,-71.27487,-72.348206,-74.69885,-80.0,-80.0,-77.9833,-74.843575,-78.284256,-77.51896,-73.217575,-74.2099,-79.308174,-80.0,-80.0,-79.665955,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.41178,-74.3354,-77.03504,-74.28056,-69.74414,-73.852684,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.504715,-80.0,-78.081406,-76.98887,-75.06582,-78.52897,-79.771484,-78.38983,-77.52222,-76.032814,-79.68854,-80.0,-77.83243,-74.5377,-77.56967,-74.82462,-76.4997,-73.97456,-73.785934,-76.731544,-72.35546,-71.91913,-77.50064,-72.252464,-73.10134,-77.417404,-78.70929,-76.36945,-77.47806,-80.0,-80.0,-80.0,-79.5066,-77.50337,-80.0,-80.0,-80.0,-78.54914,-77.10128,-78.381744,-77.4462,-78.71913,-76.023186,-71.59883,-73.79908,-76.25903,-80.0,-80.0,-75.46015,-75.491356,-80.0,-79.03668,-75.119125,-75.89619,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.05771,-73.22515,-76.71106,-72.5167,-68.52571,-73.42045,-78.77725,-79.01907,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-79.285965,-78.47303,-80.0,-78.733665,-77.3465,-73.23062,-76.998146,-79.55506,-77.83038,-79.359344,-77.06993,-78.65468,-80.0,-78.45216,-75.87549,-77.89622,-75.11863,-78.84439,-77.416,-77.66228,-77.57486,-73.06321,-73.04669,-77.80382,-74.62338,-75.297165,-76.647644,-76.35412,-73.03678,-76.050804,-80.0,-80.0,-80.0,-78.65337,-76.03448,-78.671036,-80.0,-80.0,-80.0,-77.89268,-80.0,-78.65436,-77.59798,-75.59795,-70.83088,-71.146965,-74.478836,-80.0,-80.0,-73.099174,-73.16746,-80.0,-77.74282,-73.11394,-75.79566,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-75.88322,-74.62662,-74.33161,-72.546974,-69.65708,-75.90851,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0,-80.0
