Raw_Frame,Hanning_Windowed,Hamming_Windowed
1.1641532e-10,1.9033176736570133e-11,2.6823748343799317e-11
-1.0186341e-10,-1.7249963586323706e-11,-2.401903902730325e-11
5.820766e-11,1.0202404567675445e-11,1.4042825075338805e-11
-8.731149e-11,-1.5828526095049625e-11,-2.154716331706175e-11
1.7462298e-10,3.27206225772646e-11,4.4072811390315625e-11
-1.0186341e-10,-1.9715303092592265e-11,-2.6287151373070325e-11
1.1641532e-10,2.325860403211066e-11,3.07111414556966e-11
-8.731149e-11,-1.7995542193567683e-11,-2.3540818127698363e-11
5.820766e-11,1.2368975089534693e-11,1.6036069955449312e-11
-7.2759576e-11,-1.593131390647138e-11,-2.0477574885300415e-11
1.0004442e-10,2.255887467081517e-11,2.875771807275173e-11
6.548362e-11,1.519787054417623e-11,1.92207303828542e-11
-9.458745e-11,-2.2582821324950292e-11,-2.8343191537705038e-11
3.601599e-10,8.841179777066516e-11,1.1015164610117834e-10
-4.2564352e-10,-1.0737737428536704e-10,-1.3283866597691613e-10
6.6211214e-10,1.7156859269287065e-10,2.1081207670869635e-10
-9.458745e-10,-2.516358077487002e-10,-3.0717490231631183e-10
1.193257e-09,3.2576484242859563e-10,3.9516421893239463e-10
-1.542503e-09,-4.319477593182309e-10,-5.207921797093234e-10
