MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Delta9,Delta10,Delta11,Delta12,Delta13,DeltaDelta1,DeltaDelta2,DeltaDelta3,DeltaDelta4,DeltaDelta5,DeltaDelta6,DeltaDelta7,DeltaDelta8,DeltaDelta9,DeltaDelta10,DeltaDelta11,DeltaDelta12,DeltaDelta13
-179.59738,-45.77334,22.674156,26.916115,-4.2699113,17.492012,-12.090771,-12.652229,2.937039,-5.5395155,-1.0465658,10.039255,-6.0618143,-18.731838,-12.525665,3.7489722,5.099533,-3.0146809,1.3233144,3.1379964,-1.213538,-0.32985678,1.6185342,0.77043676,0.3812834,1.2102958,-10.510668,11.116028,-4.3912296,-2.3588698,1.0561537,-0.81409043,-1.3074125,2.383608,1.5082315,-0.5250727,0.31356218,1.0638254,0.022374395
-224.68723,-33.387886,10.2806835,27.526192,-4.646907,20.71986,-7.730121,-10.164341,4.2943487,0.070731476,2.0222476,11.3997,-0.46628043,-25.999762,-3.181105,-0.5120336,4.228976,-2.5465682,0.7768071,2.456715,0.40404576,1.3016851,1.2664844,0.74784046,1.3718417,0.55236006,-8.194101,4.8801,-1.249747,-2.3881953,1.4633201,0.22310142,-1.5176429,1.8388107,0.5386156,0.19458428,0.28192526,-0.094499364,0.28593892
-280.7897,-26.885654,17.717237,23.560154,-8.098373,18.231655,-9.859114,-11.420147,-0.6989507,-0.20010631,6.649573,12.122072,1.1823523,-34.118225,3.6344438,-3.125381,2.134839,-1.5371543,0.1809048,1.682909,1.8817902,1.5481901,1.3632221,1.2601893,1.5776182,0.8528348,-4.8457923,-0.53582025,0.66492,-0.2104165,0.66981566,0.85785866,-0.11613142,0.15903682,-0.085155115,0.37569958,0.098042935,-0.7138538,-0.59876746
-313.83865,-35.78409,22.63315,24.674744,-6.3271217,20.381805,-11.342876,-6.65217,3.8766503,-0.28168774,4.4790297,9.596376,-0.063755274,-41.89616,5.3807397,-3.1130998,1.373251,-1.1816833,0.26719016,1.7950946,1.6523302,0.6788813,1.6624088,1.5146534,0.8815742,1.0169492,-3.6516738,0.42441013,0.030947313,0.3440432,0.05184763,-0.33945987,0.3029972,-0.6009193,-0.587048,0.11399631,0.0687406,-0.59392,-0.57397187
-339.25488,-40.6928,19.230259,28.155775,-4.411098,24.449574,-10.552603,-1.5613904,8.599762,1.405299,6.198554,13.558531,0.83419716,-49.231613,6.4801383,-2.000161,0.2181139,-0.43070996,-0.60630137,2.264827,1.1088115,-0.018744467,1.6991681,1.4505601,-0.07586875,0.7271453,-6.400909,3.159309,-0.60448813,-0.72818726,0.21342322,-1.4668597,1.1847183,-0.72954535,-0.81008476,-0.05136537,-0.12530532,-0.459227,-0.011548382
-378.37524,-33.282784,14.357075,32.656322,-6.8288517,27.031403,-9.33161,-0.95078576,10.886579,5.7086377,5.7617707,12.846961,-1.7735445,-52.500122,7.0010567,-1.4954038,-1.0900474,0.7372627,-1.6508473,2.541118,1.3890545,-0.03735337,1.3044324,0.8581669,-0.6291339,0.58828855,-6.8701835,2.8836346,-0.37478337,-1.9121714,1.1318426,-1.5499442,0.9368578,-0.10612766,-0.5700565,-0.112743504,-0.3455296,-0.65315855,0.44963616
-435.284,-20.337034,5.9335537,35.876266,-9.488761,23.644913,-0.71659017,-2.5313952,7.808864,6.9727015,10.294083,13.45436,-2.4262962,-52.171715,7.2106805,-2.0512967,-2.2830992,1.5490389,-2.2799876,2.8052974,1.5607679,0.023407083,1.045343,0.29704803,-0.93475014,0.7276654,-2.7651668,0.75048965,0.6286386,-2.4719346,1.1492429,-1.3108801,0.019364836,0.114754975,-0.4532418,-0.558912,-0.5037183,-0.5730129,0.4253441
-512.33954,1.4624305,1.2197548,33.181038,-12.370001,16.45643,1.1007661,-5.9026756,0.21957731,8.018038,12.251805,11.640211,3.229303,-49.592583,7.117366,-2.1032877,-3.6330984,1.7132269,-3.050234,2.4882772,1.1882906,-0.5250497,0.50622934,-0.09678945,-1.235106,0.7592746,4.890067,-2.2370923,0.9800351,-1.9406161,0.8447793,-0.54824716,-0.9262252,0.29429474,0.06295919,-0.88766736,-0.901051,-0.5229542,-0.00458175
-608.95105,21.391361,7.4282985,17.793238,-4.117614,7.2260356,10.184391,-5.0860286,-0.29443902,8.903541,10.896727,7.2420506,4.3054495,-43.728195,5.614287,-1.6702147,-4.71701,1.6711676,-3.555568,1.6660804,0.8066779,-0.9187439,-0.25650236,-0.7726007,-1.7541028,0.49842238,11.961989,-4.051411,0.53844756,-0.7760036,0.12146755,0.30802754,-1.5157833,0.13959527,0.33606037,-0.9147925,-0.90483147,-0.14443283,-0.4449136
-642.8103,11.707998,9.597205,9.317398,7.7173195,6.375217,6.6731935,5.7886415,5.4569254,7.2677693,6.799115,4.626834,5.1843195,-34.370193,3.0596666,-1.1895013,-5.1454678,1.6376246,-3.427697,0.67549694,0.6935599,-0.89872617,-0.92741233,-1.2740602,-1.8260521,0.2688329,15.269778,-3.9076874,-0.012334882,0.62879074,-0.78575903,0.91193384,-1.5144409,-0.30972764,0.29959747,-0.5751979,-0.6441024,0.07653391,-0.81606907
-648.29755,5.927107,5.9100556,5.8817663,5.8424244,5.7922935,5.731703,5.661054,5.5808,5.491475,5.3936343,5.2879043,5.1749396,-23.051596,0.44433406,-0.7943823,-4.7296166,1.3290838,-2.6771805,-0.38921386,0.6053024,-0.544811,-1.2162892,-1.7086092,-1.7313232,-0.16416511,13.9087925,-2.3912563,-0.48243,1.6488389,-1.3503768,0.9500763,-0.8180482,-0.73345876,-0.080546334,-0.23424387,0.019121995,0.35023326,-0.7032951
-650.3111,3.0839834,3.0802374,3.0739944,3.0652685,3.0540671,3.0404072,3.0243008,3.0057788,2.9848447,2.9615445,2.9358969,2.9079387,-11.906768,-1.646899,-0.8619388,-3.501165,0.68506974,-1.7583481,-0.89153314,0.369481,-0.2659291,-1.3046833,-1.669436,-1.3718618,-0.6811182,8.722988,-0.1619423,-0.3508377,1.7494667,-1.3135743,0.6310257,-0.25701338,-0.89407605,-0.44076568,0.14425607,0.4439809,0.39438674,-0.16389501
-652.10144,0.5529678,0.5520538,0.55053055,0.54840297,0.5456692,0.5423373,0.53840923,0.53389776,0.52878886,0.5231094,0.5168591,0.5100483,-3.563091,-2.2604606,-1.2234193,-1.8993778,-0.35719368,-1.0444741,-1.2543492,-0.18947032,-0.48933998,-1.1897544,-1.2955511,-0.9393402,-0.7672096,2.615735,1.2337883,0.35603297,0.9807571,-0.37032244,0.29823515,0.4837403,-0.45315593,-0.16551603,0.42191252,0.5384083,0.28704458,0.1207952
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.93448794,-1.1889042,-1.047192,-1.0268902,-0.9179249,-0.8255259,-0.8418506,-0.77874565,-0.75192595,-0.8673997,-0.8303927,-0.6793284,-0.70980036,0.5982007,0.7256307,0.59754395,0.5803215,0.48298034,0.4011758,0.41867608,0.36441985,0.34358662,0.4525318,0.42325854,0.29067728,0.32348743
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
