MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
0.78294814,1.1931069,-1.0568383,-0.8268979,-1.0590672,0.117178455,-0.5824046,-0.45744896,0.56188303,0.3017475,-1.4126664,-1.9082177,-2.1343963
0.5758198,1.1170012,-0.59844524,-0.8122372,-0.9163147,-0.45874962,-0.50312865,-0.6249534,0.58805233,0.8294727,-1.068832,-2.3124027,-1.6529173
0.6655451,0.5292288,0.5446287,-0.80169713,0.09215851,0.037173223,-1.3715647,0.9820915,-0.65246767,0.2380486,-1.3118855,-0.13570231,-1.3165423
0.9708331,0.41857746,0.82740813,-0.7193581,0.10294892,0.44845468,-1.9714384,1.637687,-1.8093684,-1.5006564,-1.5182987,0.47504845,-1.6010063
0.971245,0.56835884,0.7153446,-0.80163354,-0.11793476,0.31818357,-1.6539605,1.5124991,-1.5396855,-1.5191087,-1.5794046,-0.02214768,-1.6937543
0.7680441,0.6274978,0.4381772,-0.79517657,-0.25870696,0.13864188,-1.330384,0.6132569,-0.7481558,-0.9676221,-1.3980856,-0.12912926,-1.7354033
0.52289337,0.51380885,0.43777817,-0.47474557,-0.09680051,0.15367301,-0.93813044,0.26122567,-1.1075813,-1.1721088,-0.82231,-0.88830894,-2.0927715
0.29414397,0.46316624,0.76280856,-0.20846774,-0.1654834,0.07649596,-0.34961393,0.4832792,-0.75642455,-0.4794375,-0.59771097,-1.156969,-1.2100623
0.092258245,0.4756898,0.72170925,0.055301245,0.081622876,-0.2306843,0.19625917,0.15050389,-0.8784909,0.5004331,-0.19195165,-1.1441963,-0.68294775
-0.07246548,0.32410523,0.54345846,0.266399,0.2520469,0.20824735,0.22835208,0.19325525,-0.45863554,-0.01194779,0.2154258,-0.647205,-0.025655188
-0.1290259,0.063453756,0.1588303,0.65394163,0.05646352,0.27430683,-0.2779053,0.07136079,0.3062865,-0.30764297,-0.13988385,-0.68931955,0.71366
0.013039149,-0.017352149,-0.12960212,0.15337838,-0.3767411,0.025331412,-0.86525404,0.11178004,0.44081405,-0.985129,-1.4113925,-1.0868353,0.55960214
0.6014617,1.1257889,-0.21685717,-1.6510699,-1.6614764,-0.036873985,-0.5250576,-0.78008634,-0.7451711,0.16778952,-0.33404195,-0.67598784,-0.85568273
0.8760979,1.5232805,-0.5991229,-1.5890735,-1.9643081,-0.030897625,0.24525622,-0.26277924,-0.43295646,0.44953018,-0.2912283,-1.1475282,-0.66023576
0.809028,1.4433522,-0.7940726,-1.370577,-1.4697058,-0.1590004,0.78251565,0.87707597,0.08371021,1.1529846,0.5356886,-0.46877074,-0.38747764
0.6035107,1.2046155,-0.48728102,-1.0156305,-1.0903292,-0.46932238,0.50127685,1.2928221,-0.41375226,1.4366409,0.45999998,-0.11437171,-0.19634888
0.40093413,1.011519,0.014054457,-0.9215859,-1.1904713,-0.8752578,0.09583607,1.3652872,-0.5852773,0.596064,0.45621714,-0.57327896,0.21714108
0.20214315,0.9420268,-0.06411637,-1.2756348,-1.1411041,-1.35421,-0.02692746,1.1127827,0.44455636,0.5765776,0.6532779,-0.29218662,0.8425855
0.014341632,0.97533345,0.047339205,-1.2296962,-1.0267878,-1.3772447,0.45962033,0.90195566,0.31620812,0.69508094,0.94248265,-0.7543687,0.396881
-0.007341014,1.0187153,0.10524283,-1.0698792,-0.9514808,-0.6981045,1.0012808,1.376752,0.46581095,-0.26693788,0.1980885,-1.30821,0.1262954
-0.008262359,0.9210587,0.17567147,-0.8705194,-0.8976639,-0.970321,0.5291424,1.4273036,0.8465692,-0.5632149,0.43185923,-0.8395743,-0.013730694
0.028530316,0.7731805,0.41996902,-0.47230634,-0.39432845,-0.09634913,-0.047416493,-0.12560704,0.10229698,-0.1752768,0.13328853,-0.8300128,-0.8564335
0.12183161,0.44942763,0.5764116,-0.09452151,-0.26353392,0.7264101,-0.463602,-0.29010016,-0.41075397,0.07247244,0.23737344,0.4553513,-0.21300454
0.11920621,0.016804583,0.4500464,0.27158675,-0.23770647,0.7288161,-0.6296611,-0.23431426,-0.22565521,0.069538616,-0.22862522,1.034791,0.24576907
0.034196816,-0.43518934,0.023738798,0.4455142,-0.22980647,0.5052695,-0.62280893,-0.08922729,0.94903874,0.45826018,-0.11219444,0.072179735,0.26772773
-0.07399234,-0.591499,-0.0794918,0.7678463,0.05879175,0.087561406,-0.81383485,-0.23786241,1.4033644,0.87033236,-0.06320683,-0.5872152,0.090445146
-0.06610612,-0.2850872,0.3509406,1.0497593,0.16732258,-0.13264243,-0.64336985,0.0065038432,0.8663014,0.28308615,0.101626575,-0.31229407,-0.3638756
-0.03659866,-0.022447458,0.7023728,1.1089585,0.18875776,0.014979721,0.010817822,0.27479845,0.0820845,0.5947481,-0.17373906,-0.1442066,-0.21181169
-0.08902374,0.017599022,1.0599816,1.180058,0.41359818,0.39795154,0.049255844,0.40345964,0.08565728,0.78833354,-0.23388186,-0.04928521,0.38087073
-0.09163501,0.011253766,1.1760513,0.87390065,0.3113523,0.49588183,-0.32141635,0.43967983,-0.38283288,-0.038732123,0.008808367,0.61924696,0.3953567
-0.08168694,-0.38689965,1.0139796,0.88230675,0.59402245,0.28725553,-0.6822523,0.505517,-0.63632876,0.04908776,-0.019229023,0.7170248,0.77317864
-0.101997085,-0.8614782,0.78293985,0.5599662,0.35415083,0.22317383,-0.61956054,0.6357676,-0.6049716,0.9950182,-0.009227904,0.8734305,0.35317916
-0.08635066,-0.8873474,0.8455172,1.029699,0.5706387,0.44850746,-0.018409975,0.6439684,0.19468914,0.8097253,-0.023032498,1.0006434,0.23362145
0.28903863,-0.7835063,0.102133535,2.4189036,1.0020791,1.7685409,0.16799803,0.77312225,-0.17342222,0.57688767,0.2670874,0.9860454,0.80943817
0.44613504,-0.7240719,0.27078375,2.7425954,0.9367728,2.389442,0.39222065,0.97425294,-0.68440276,0.29997718,0.4412453,1.4175545,0.55136305
0.30699837,-0.58332485,0.49067134,2.240962,0.41577083,2.142766,0.5406608,0.94319695,-0.25599018,0.9664722,1.0180947,1.4887016,0.35378626
0.1585103,-0.46514198,0.1065595,1.6949316,0.37151408,1.6327542,0.4732042,0.74236673,0.7707609,1.495873,0.71067464,0.8350965,0.4976398
0.0040006973,-0.5179279,-0.29922187,1.5473808,0.5055207,0.889136,0.14871563,0.6673371,1.580144,1.6388308,0.36927608,0.35137242,0.74821424
-0.15334587,-0.5658017,-0.28973493,1.1163828,0.44367495,0.9580702,0.334778,0.24283245,1.1769793,1.7992264,0.38505575,0.05526705,0.6978169
-0.274839,-0.5079857,0.06132913,0.9569792,0.6505529,1.0424579,0.3080847,-0.15238795,0.59396464,0.6040487,0.8925153,0.88850754,0.70309407
-0.4279716,-0.4675109,0.33067492,1.1746869,1.0461413,0.775718,-0.11889221,-0.5611427,0.2548543,-0.32713354,1.1913873,1.2942798,0.60834557
-0.8740624,-0.41538575,0.37158623,1.2300143,1.477698,0.02427643,0.175517,-0.9764139,1.1644284,-0.57448316,1.7267708,1.1285003,1.0406398
-2.23475,-1.1919649,1.7627438,0.083405584,2.742407,-2.275774,1.8222586,-2.2475343,1.7709779,-0.5109001,1.8231424,0.9866708,1.3324261
