0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81
-32.70522,-50.17008,-58.89702,-72.14145,-34.85506,-16.797623,-7.5404434,-2.1376562,-1.119484,-3.044794,-7.3948574,-12.62646,-7.6285343,-4.5203905,-9.84013,-14.356752,-18.18502,-19.57629,-19.727962,-17.293873,-14.085896,-11.606939,-9.106367,-7.8239613,-2.3879309,-2.3683834,-5.263916,-5.297698,-6.45461,-8.657954,-6.1933956,-5.2439833,-6.2058706,-7.676255,-4.882313,-4.7658653,-2.4083185,-4.7405453,-10.78548,-11.373229,-11.395972,-10.386887,-10.030332,-12.391581,-13.743383,-12.605025,-13.978949,-12.875368,-13.465866,-14.968657,-19.2093,-18.180206,-18.68988,-20.672817,-22.28748,-22.52423,-22.045944,-20.947245,-23.261766,-25.569717,-24.303204,-23.460598,-24.943132,-26.815826,-25.022667,-26.854654,-30.737803,-30.735031,-28.50822,-32.143875,-35.371414,-36.666336,-36.850544,-36.609623,-39.555817,-44.3363,-55.45385,-51.203613,-47.231773,-43.150517,-22.725323,-13.100712
-35.134766,-40.395103,-45.159855,-55.881153,-17.437737,5.0164137,12.275292,11.752165,10.585571,10.056602,4.804411,2.168888,7.7761135,11.67424,2.9330196,-3.7600632,-6.7004986,-6.578579,-6.9576454,-2.7456017,-0.56313324,-1.111105,2.5202198,5.567156,14.073448,14.64801,10.5965805,8.881895,6.219841,6.223324,10.537767,10.314699,9.31086,10.310072,10.478731,9.257446,8.014215,8.284464,9.80451,7.400711,6.325115,6.250395,3.5634155,3.4063606,4.373295,3.2753963,1.9321823,3.4756393,1.2474251,0.84856415,-0.77765656,-2.6417694,-3.5060043,-3.4827385,-3.4855328,-5.166916,-5.806576,-2.4704819,-2.0137577,-5.5084763,-5.665285,-6.3128643,-7.376499,-8.3923645,-9.335697,-11.627668,-13.217117,-14.113304,-15.598236,-15.873224,-17.049292,-17.40965,-20.43886,-21.259815,-18.271107,-19.563057,-39.452507,-34.28068,-30.351677,-26.96508,-8.119698,-0.49999237
-31.657356,-31.352997,-32.33184,-38.933067,4.354473,27.202757,32.572174,32.707214,35.338394,31.466301,27.40042,25.351921,25.930994,26.173332,29.771385,32.4006,29.6064,30.016705,29.857744,34.794704,38.072243,35.9635,39.733315,41.377964,36.72116,34.132545,27.664013,29.429834,31.92422,25.380457,27.977526,28.46226,25.679504,27.93401,29.496262,32.373764,35.494537,27.929502,27.980576,27.928223,33.825996,30.915028,23.993126,23.712059,23.524563,21.212381,23.80567,26.477774,25.583603,23.33825,19.38348,17.751034,17.693314,21.167255,22.965054,19.160313,17.278141,20.192532,17.128029,15.845306,13.989212,13.002789,9.594971,6.6833076,6.3268967,7.1440773,7.659359,9.984825,6.7869186,6.3779716,9.147408,5.67984,4.144417,5.097912,-1.7581749,-9.169308,-26.798187,-22.50354,-18.402882,-15.757423,2.1855927,5.0557365
-33.815514,-42.083076,-49.04133,-62.34634,-24.256062,-6.933529,-7.1908703,-9.845835,-9.0781,-5.8706636,-7.721672,-10.0807705,-11.964092,-10.718273,-11.494656,-10.863672,-6.717449,-6.7787304,-2.260666,4.897171,6.9971085,4.7864075,2.7881393,0.54009247,2.2009344,1.9317074,-2.793642,-2.5751743,-2.600174,-6.5864162,-4.698286,-2.803299,-2.030882,-4.85804,-6.6970406,-6.3338585,-1.6619091,-4.2600136,-5.1874523,-6.381922,-1.3291588,-0.7536564,-6.9000473,-9.606493,-9.361048,-11.342623,-10.199505,-12.122698,-14.0636215,-12.893673,-15.432152,-18.098722,-19.271017,-16.887146,-17.481838,-19.591244,-19.140192,-22.001827,-23.538788,-22.935787,-20.669886,-21.131742,-23.720165,-26.169586,-24.358139,-26.379305,-29.56964,-29.705177,-32.848312,-30.90392,-31.653471,-33.406483,-33.423927,-34.545002,-36.378395,-39.498894,-52.638107,-48.561993,-44.271458,-39.87948,-21.232178,-12.007832
-32.93062,-44.26159,-51.50488,-64.77314,-23.953037,-5.170926,-6.303464,-7.9838524,-8.899437,-7.6203356,-10.894806,-12.571161,-14.323359,-12.181597,-12.192404,-11.016413,-8.36853,-7.8114433,-1.8361149,1.9084263,6.5216446,5.879595,3.3896694,0.1693573,1.3355217,3.765151,0.15660477,-3.7961674,-5.6335278,-7.9133415,-5.0653057,-4.1375465,-4.1035824,-4.8013687,-6.396101,-3.9602804,-3.3591986,-6.005295,-5.56275,-6.930971,0.7480068,0.65611744,-8.495062,-10.960449,-9.867098,-12.320366,-12.114149,-13.522893,-13.264531,-13.140042,-12.895873,-17.689743,-19.290186,-18.848259,-17.257992,-19.707603,-20.15126,-20.9861,-22.58345,-26.35296,-26.506779,-25.766243,-23.760538,-24.470657,-26.46754,-29.45379,-30.151226,-29.503117,-32.09123,-33.869217,-36.465622,-37.44601,-35.988583,-36.653122,-35.958126,-37.948715,-53.436214,-49.1109,-44.78645,-40.626587,-22.890106,-13.562843
-21.182678,-24.903027,-26.757187,-33.376133,6.306839,26.718744,31.888237,36.37976,35.801266,34.50251,31.491613,30.452635,32.614933,32.789753,34.633232,39.830563,42.115505,42.190323,41.131683,45.259357,46.73733,42.526283,41.981907,42.21615,36.159225,37.450737,39.465977,36.9253,36.307564,32.7937,32.68978,34.651237,34.68407,33.993843,33.479267,36.448013,38.845413,36.06656,29.996824,30.623196,35.49824,36.68506,30.606558,27.427168,27.678207,25.726673,25.097223,26.873825,27.437035,26.304478,27.056652,24.785423,21.807404,22.141685,22.925678,20.413204,13.515469,14.245678,16.689922,17.258541,15.337597,12.025528,11.966797,11.397297,9.60672,6.2091675,7.0947723,6.163357,5.641762,3.664177,3.1311455,3.200798,3.1235657,0.8822365,-3.2246246,-10.061764,-24.383545,-20.000267,-16.850925,-13.5633545,1.4901657,7.99345
-21.87112,-29.767265,-39.43363,-55.625084,-20.75835,-1.5734634,2.3658543,5.0403566,2.712141,-0.45465088,-0.96652603,0.71515465,2.9109402,3.0004063,3.5648108,7.051132,12.554565,15.213751,15.289271,19.0514,22.713634,17.034573,16.661785,15.298167,17.784618,24.564495,22.875217,15.045464,12.549742,10.696325,11.851099,12.707245,11.209202,14.506739,16.303556,19.91478,20.632004,17.12693,8.270489,13.273394,18.73541,17.617071,8.503174,7.186302,6.9268627,4.6635056,5.278404,4.1816654,2.3476067,1.7064114,3.68684,1.4120102,-0.46225357,-1.5190315,-0.95137787,-3.4603462,-8.066196,-3.9496346,-2.136959,-3.5055199,-5.5835686,-7.3082886,-10.915676,-11.711922,-11.483692,-12.589222,-11.973488,-14.367245,-16.442333,-17.36444,-19.205997,-19.583477,-22.869644,-24.98079,-22.786385,-23.831314,-36.337498,-32.042793,-27.452755,-22.77462,-6.167076,1.3353806
-18.267548,-30.436306,-40.18091,-55.768112,-20.529346,1.0879078,3.6556282,3.6832876,2.1667423,-0.8403511,0.9033203,2.4923162,3.3591423,1.7597342,1.3875122,6.0724773,10.039319,13.206774,14.797177,16.702374,19.193878,14.977025,11.206774,13.596406,20.560167,23.323927,20.404072,16.36811,12.664801,11.894718,11.955883,13.515562,12.8961315,18.769053,19.00977,18.538061,17.330257,13.902222,11.576607,14.070354,18.880865,18.236492,9.833483,7.501051,7.2092743,4.8700924,2.2721577,3.286396,2.1103802,2.332653,5.25832,2.7244987,-1.6515961,-3.4136734,-0.79615784,-2.8055038,-7.600361,-4.3022575,-4.607525,-7.1843147,-5.8118744,-5.028942,-7.792099,-11.275017,-12.293396,-12.552956,-10.895699,-11.472958,-17.732056,-16.478321,-16.8395,-18.622551,-21.075405,-22.41761,-20.904625,-21.476799,-36.028854,-31.577892,-26.946121,-22.48169,-6.5835266,0.7966118
-20.8101,-30.700962,-41.680145,-59.734932,-24.362694,-6.2754116,-1.7644215,-2.0070028,-1.6633911,-2.5293446,-0.7891998,1.6549892,4.269045,8.294242,10.211601,14.552848,18.569883,23.051037,25.393396,28.137339,29.17006,25.120195,24.604412,24.612013,29.003187,29.12294,24.02818,21.319176,21.560085,19.998528,17.582037,17.512539,18.032368,24.109936,23.78573,20.497078,22.600239,18.806479,12.898687,15.080608,22.864134,23.98676,15.121122,9.153812,8.474014,8.704718,6.4383087,7.3421745,8.245409,6.9306755,6.6804295,4.317711,1.1035423,1.7830048,2.7791634,1.2185745,-2.655262,-6.5188217,-8.158543,-7.061779,-4.1280212,-3.0661316,-4.3571014,-6.0402718,-8.676258,-9.559719,-8.444111,-8.409523,-12.296215,-12.730885,-15.264034,-16.65939,-15.913597,-16.066353,-15.972374,-20.710243,-31.51619,-27.918201,-23.775532,-19.265942,-3.6270676,4.894348
-25.982048,-41.089462,-52.94651,-71.33474,-38.829678,-20.109493,-14.0200405,-14.921404,-16.257635,-17.675072,-16.443195,-13.217834,-9.232464,-3.592945,-1.9852457,0.45139885,3.9795418,9.1591625,13.074053,15.979925,17.339897,12.495827,7.3177223,7.339631,11.583996,16.932045,13.034888,10.625538,9.55304,6.3384933,4.1978817,6.0767803,7.349537,9.526733,10.229645,10.790928,14.583945,11.193466,4.4228783,6.1173477,11.134142,10.508472,2.5464725,0.07774544,0.8219528,-1.8947849,-4.2592144,-4.7203884,-5.7581234,-7.51803,-4.454979,-5.050228,-6.41185,-8.5434,-9.538038,-9.769506,-12.254738,-13.6071,-15.83432,-13.07811,-12.831142,-12.601833,-14.579365,-17.29881,-18.010221,-20.187807,-22.35188,-22.559952,-23.071547,-23.704777,-25.867798,-25.665688,-26.88774,-27.886932,-27.711128,-32.573463,-41.342056,-37.089634,-32.804474,-28.747635,-14.345169,-5.494072
