0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43
-12.9321995,-4.242221,-2.7472887,-2.6336126,-2.928772,-3.333972,-3.549592,-3.7843313,-4.168106,-5.193162,-7.2859125,-8.946895,-8.665972,-8.933894,-10.947759,-14.150534,-16.157213,-15.431202,-14.640531,-15.677905,-18.531551,-22.920027,-26.299053,-28.086483,-30.007563,-29.62807,-26.777931,-25.350212,-25.57522,-26.835133,-27.313858,-28.309784,-31.223541,-32.64999,-30.837986,-29.686821,-30.19112,-31.38969,-31.375954,-31.180695,-31.995296,-30.888172,-30.386517,-35.334793
-23.165138,-16.197964,-15.220471,-12.797499,-11.12175,-9.790365,-9.143929,-9.073631,-9.319502,-9.848101,-11.3015785,-13.243907,-15.1576395,-17.500029,-21.125181,-23.962185,-25.113625,-25.890545,-25.892765,-26.439388,-27.594559,-28.884499,-29.941498,-31.566372,-33.53147,-35.387066,-35.193184,-33.71171,-32.708576,-32.867126,-32.83642,-33.649754,-35.367134,-36.216736,-36.953995,-37.66352,-38.532303,-39.313004,-39.61746,-39.758533,-40.784744,-41.796917,-42.52214,-48.054314
-35.678684,-32.56789,-39.00439,-40.6651,-40.94162,-40.111706,-39.353584,-34.8697,-36.551933,-41.857697,-45.73688,-42.781414,-41.69512,-42.721706,-46.179314,-49.307495,-53.241154,-54.389732,-55.493134,-55.429127,-56.30175,-57.968975,-60.73919,-64.9668,-66.20494,-63.14933,-59.0695,-60.72761,-60.064857,-57.3661,-58.261414,-58.73884,-59.784393,-60.2833,-62.473866,-62.943996,-66.92254,-66.486275,-69.96598,-71.9685,-70.42349,-71.0166,-70.62393,-74.37811
-38.209496,-34.66156,-38.59774,-39.527218,-36.67738,-33.63547,-33.06304,-33.84725,-31.958622,-35.074413,-37.29858,-38.055832,-44.662556,-49.72986,-49.356655,-45.377747,-43.71731,-47.59932,-49.567825,-51.30772,-48.34371,-48.654163,-54.96138,-60.05367,-55.186142,-50.918404,-49.61347,-52.998707,-57.50555,-49.506134,-48.77548,-54.43863,-60.401215,-58.382145,-58.32776,-60.18511,-62.340973,-62.249226,-62.89816,-65.031906,-66.277695,-64.58405,-63.35174,-67.69059
-24.906292,-17.1579,-14.159439,-12.094644,-11.439524,-7.404711,-6.2022924,-8.3850765,-9.887806,-10.302953,-11.950505,-15.525522,-23.08025,-29.480247,-24.87469,-20.285295,-17.823164,-18.723824,-23.553097,-24.707977,-22.77308,-24.777435,-30.862795,-34.385746,-31.169258,-26.880651,-25.028622,-27.58513,-30.07416,-26.026768,-26.44918,-31.12141,-36.23102,-35.34151,-36.07492,-37.601437,-38.24135,-36.382347,-36.84941,-41.299175,-41.925835,-39.86897,-39.48322,-44.766605
-25.489471,-17.484526,-14.22481,-12.549267,-13.322043,-10.932859,-9.752336,-11.523342,-12.086822,-12.42914,-13.759281,-16.896156,-23.280918,-29.93,-26.441444,-22.661377,-20.70003,-21.687431,-25.912157,-26.532715,-24.391466,-24.959158,-27.877857,-30.889364,-31.49833,-28.78616,-27.182442,-28.786518,-29.590813,-27.146538,-27.755383,-30.411957,-32.097645,-32.586063,-33.53803,-34.487583,-35.61036,-36.70569,-37.96254,-40.044037,-40.2088,-39.87837,-40.89262,-46.678
-27.153076,-17.35729,-13.626609,-12.226097,-13.247755,-16.24768,-16.606916,-14.328593,-12.933428,-13.632357,-14.897922,-17.742258,-22.50935,-28.170341,-27.92657,-26.520294,-26.835432,-28.020613,-29.620186,-30.081446,-27.766338,-26.21199,-27.00045,-29.909115,-33.337387,-33.39328,-31.30338,-30.2648,-29.33411,-28.600262,-29.519281,-29.692436,-30.068031,-31.306778,-32.67838,-33.32595,-34.16549,-36.694252,-39.288116,-39.370167,-38.53305,-39.12527,-42.38854,-49.902695
-30.743649,-22.24971,-20.7533,-17.548843,-15.112611,-14.478366,-13.9298725,-13.044203,-12.244772,-12.322832,-13.640764,-15.949789,-19.405972,-25.06963,-30.6357,-29.02996,-26.290588,-25.330898,-25.770245,-27.188478,-28.76675,-31.880322,-35.649647,-36.67739,-33.358395,-30.510376,-29.494629,-30.959358,-35.119232,-38.13482,-39.239906,-38.62222,-37.78277,-38.784622,-38.94831,-37.29777,-36.081707,-36.528694,-38.59291,-40.641285,-38.97591,-37.738773,-40.15422,-47.897087
-30.552813,-20.172476,-17.0265,-15.521218,-14.580212,-14.716952,-15.926387,-16.266302,-15.3166895,-14.976356,-15.524282,-17.106878,-19.130627,-20.486372,-20.40121,-19.825947,-19.768532,-20.641373,-22.07866,-24.922243,-28.84948,-32.876305,-33.939156,-33.81116,-34.60391,-36.870865,-38.72852,-38.399834,-40.741634,-42.510986,-39.080566,-35.72842,-34.85497,-35.999805,-38.56849,-40.34494,-44.00898,-46.583065,-42.304317,-38.683857,-36.402878,-35.802223,-37.905266,-45.184895
-27.718197,-17.925148,-15.10446,-14.912167,-14.70761,-13.530361,-14.904202,-16.893116,-16.203749,-16.15201,-16.684431,-17.94965,-20.24453,-20.985567,-21.720036,-21.391275,-20.855244,-21.711563,-22.4963,-25.588457,-28.985119,-31.835339,-34.36402,-35.05112,-34.337456,-35.55398,-36.37652,-36.18651,-39.022697,-40.49501,-39.169144,-37.02525,-36.454502,-37.658348,-38.85223,-39.163467,-43.133183,-46.862247,-43.27009,-40.477524,-38.47132,-37.475235,-39.229206,-46.45729
