MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13
0.71278393,0.85098076,-1.6871291,-0.6301007,-0.18418539,-0.36055976,-0.51642895,-0.60029256,-0.780378,-0.9568606,-0.942142,-1.1816418,-0.48033288
1.099724,1.2075665,-1.2642078,-1.5239853,-1.4241291,-0.4831907,-0.1772844,-0.91920197,-0.30410317,0.26198882,-1.1382366,-2.343808,-1.933228
1.224643,1.1840737,-1.4807248,-1.4940519,-2.0491867,-0.23637527,-0.102048844,-0.61208004,0.037388783,1.088494,-1.650684,-1.7006928,-1.6978099
1.1487192,1.1146395,-1.4834309,-1.17175,-2.0969582,0.042961575,-0.39998996,-0.29571465,0.740235,1.9329151,-1.0513614,-0.541472,-0.99764186
0.98596025,1.1407416,-1.3544925,-0.81585795,-1.4514463,-0.18375774,-0.31687978,0.0700385,1.1811095,1.1808133,-1.0829887,-0.7675384,-1.7074459
0.78294814,1.1931069,-1.0568383,-0.8268979,-1.059067,0.11717873,-0.5824046,-0.45744878,0.5618828,0.30174747,-1.4126669,-1.9082175,-2.1343963
0.5758198,1.1170012,-0.59844524,-0.8122372,-0.9163147,-0.45874956,-0.50312865,-0.6249534,0.58805174,0.82947266,-1.068832,-2.3124027,-1.6529175
0.6655451,0.5292288,0.54462874,-0.8016971,0.09215851,0.037173048,-1.3715647,0.9820915,-0.6524678,0.23804875,-1.3118855,-0.13570237,-1.3165421
0.9708331,0.41857746,0.82740813,-0.719358,0.10294892,0.4484547,-1.9714384,1.6376871,-1.8093685,-1.5006566,-1.518299,0.47504866,-1.6010063
0.971245,0.56835884,0.7153446,-0.8016334,-0.1179349,0.31818363,-1.6539608,1.5124991,-1.5396854,-1.5191087,-1.5794044,-0.022147525,-1.6937543
0.7680441,0.6274978,0.43817708,-0.79517657,-0.25870696,0.1386417,-1.3303847,0.6132569,-0.7481563,-0.96762246,-1.3980856,-0.1291295,-1.7354033
0.52289337,0.51380885,0.43777812,-0.47474554,-0.09680051,0.15367281,-0.9381301,0.26122564,-1.1075814,-1.1721089,-0.82231,-0.88830894,-2.0927715
0.29414397,0.46316624,0.7628086,-0.2084678,-0.1654834,0.07649601,-0.3496139,0.4832794,-0.7564253,-0.47943747,-0.59771085,-1.1569687,-1.210062
0.092258245,0.4756898,0.72170925,0.055301122,0.081622876,-0.23068403,0.1962592,0.1505041,-0.8784912,0.5004325,-0.19195138,-1.1441962,-0.68294805
-0.07246548,0.32410526,0.54345834,0.26639912,0.2520469,0.20824693,0.2283523,0.19325523,-0.45863554,-0.011947936,0.21542555,-0.6472051,-0.025655212
-0.12902589,0.06345377,0.15883031,0.65394163,0.056463517,0.2743069,-0.27790526,0.071361,0.306286,-0.30764303,-0.13988408,-0.6893194,0.7136601
0.01303915,-0.017352132,-0.12960209,0.15337838,-0.37674138,0.02533146,-0.86525404,0.11177981,0.44081396,-0.9851291,-1.4113927,-1.086835,0.5596024
0.6014617,1.1257886,-0.21685714,-1.6510698,-1.6614764,-0.036873937,-0.5250576,-0.7800861,-0.7451712,0.16778965,-0.33404168,-0.6759877,-0.8556829
0.8760979,1.5232801,-0.5991229,-1.5890737,-1.9643081,-0.030897576,0.24525623,-0.26277903,-0.43295673,0.44953045,-0.2912283,-1.147528,-0.6602358
0.809028,1.4433522,-0.79407287,-1.370577,-1.469706,-0.15900035,0.78251547,0.87707597,0.08371026,1.1529846,0.53568864,-0.46877068,-0.3874773
0.6035107,1.2046155,-0.48728102,-1.0156305,-1.0903298,-0.4693224,0.501277,1.2928221,-0.41375196,1.4366407,0.45999992,-0.11437189,-0.19634883
0.40093413,1.011519,0.014054368,-0.9215858,-1.1904713,-0.87525773,0.09583609,1.3652872,-0.5852771,0.5960641,0.456217,-0.57327896,0.21714093
0.20214315,0.9420268,-0.06411626,-1.2756348,-1.1411043,-1.35421,-0.026927445,1.1127827,0.44455597,0.5765776,0.65327775,-0.2921866,0.84258574
0.014341635,0.97533345,0.047339216,-1.2296962,-1.0267878,-1.3772445,0.45962033,0.90195566,0.31620842,0.6950813,0.9424827,-0.7543686,0.3968811
-0.007341013,1.0187153,0.10524295,-1.0698792,-0.9514808,-0.6981046,1.0012808,1.376752,0.46581164,-0.26693767,0.19808863,-1.3082095,0.12629531
-0.008262457,0.9210587,0.17567155,-0.8705195,-0.8976642,-0.9703211,0.52914196,1.4273036,0.8465695,-0.56321496,0.43185934,-0.83957434,-0.013730438
0.028530318,0.7731805,0.4199691,-0.47230643,-0.39432845,-0.09634953,-0.047416665,-0.12560706,0.10229731,-0.17527677,0.1332888,-0.83001304,-0.8564336
0.12183161,0.44942763,0.5764116,-0.094521314,-0.26353377,0.7264101,-0.463602,-0.29009998,-0.41075402,0.07247239,0.23737371,0.45535088,-0.2130045
0.11920621,0.0168046,0.45004633,0.27158678,-0.23770647,0.7288161,-0.6296611,-0.23431452,-0.22565517,0.06953819,-0.22862521,1.0347911,0.24576892
0.034196816,-0.43518934,0.023738815,0.44551423,-0.2298066,0.5052698,-0.62280893,-0.089227304,0.94903857,0.45825985,-0.112194695,0.0721796,0.26772785
-0.07399234,-0.59149915,-0.079491995,0.7678463,0.05879161,0.08756145,-0.81383485,-0.23786221,1.4033647,0.8703323,-0.063206814,-0.58721507,0.09044554
-0.06610612,-0.28508717,0.3509405,1.0497594,0.16732258,-0.13264194,-0.64336985,0.0065038265,0.86630154,0.2830862,0.10162658,-0.31229416,-0.3638757
-0.036598656,-0.02244744,0.7023728,1.1089585,0.18875803,0.014979548,0.010817838,0.27479842,0.08208441,0.59474784,-0.17373903,-0.14420684,-0.21181151
-0.08902374,0.017599039,1.0599817,1.180058,0.41359806,0.3979516,0.049255863,0.4034596,0.08565719,0.78833354,-0.23388237,-0.049285218,0.38087094
-0.09163501,0.011253603,1.1760513,0.87390065,0.3113523,0.49588186,-0.32141653,0.4396796,-0.382832,-0.038732365,0.008808509,0.61924726,0.3953564
-0.08168694,-0.38689965,1.0139796,0.88230675,0.5940226,0.2872551,-0.6822523,0.50551724,-0.6363288,0.049087904,-0.019229136,0.71702504,0.7731785
-0.101997085,-0.8614782,0.7829398,0.5599662,0.35415068,0.22317363,-0.61956054,0.63576716,-0.6049724,0.9950179,-0.00922789,0.8734305,0.35317904
-0.08635066,-0.8873474,0.8455173,1.029699,0.5706388,0.44850773,-0.018409958,0.64396816,0.19468889,0.8097252,-0.023032613,1.000643,0.23362152
0.28903863,-0.7835063,0.10213354,2.4189036,1.002079,1.7685405,0.16799805,0.77312225,-0.17342268,0.576888,0.26708743,0.9860456,0.8094383
0.44613504,-0.724072,0.27078375,2.7425952,0.9367728,2.3894427,0.39222065,0.97425294,-0.68440306,0.29997742,0.44124508,1.4175545,0.551363
0.30699837,-0.58332485,0.49067128,2.240962,0.4157711,2.142766,0.5406606,0.9431967,-0.25598994,0.96647215,1.0180945,1.4887018,0.3537864
0.1585102,-0.46514198,0.1065594,1.6949319,0.37151408,1.6327543,0.47320384,0.74236697,0.7707608,1.4958731,0.7106746,0.8350964,0.49763966
0.0040006996,-0.5179279,-0.29922187,1.5473808,0.5055207,0.8891361,0.14871566,0.66733694,1.5801438,1.6388313,0.3692758,0.35137272,0.7482143
-0.15334576,-0.5658017,-0.28973493,1.1163827,0.44367483,0.9580703,0.33477804,0.24283242,1.1769795,1.7992268,0.3850557,0.055267144,0.69781667
-0.274839,-0.5079859,0.06132914,0.9569792,0.65055317,1.042458,0.30808473,-0.15238819,0.5939659,0.60404855,0.8925155,0.88850766,0.70309395
-0.4279716,-0.46751073,0.33067507,1.1746869,1.0461414,0.7757183,-0.118892185,-0.56114244,0.25485447,-0.3271332,1.1913873,1.2942799,0.60834527
-0.8740624,-0.41538575,0.3715863,1.2300143,1.477698,0.02427648,0.17551701,-0.9764139,1.1644282,-0.574483,1.7267708,1.1285006,1.0406396
-2.23475,-1.1919649,1.7627438,0.083405584,2.742407,-2.2757738,1.8222586,-2.2475345,1.7709775,-0.51090014,1.8231425,0.98667073,1.3324262
