MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13
-270.22726,4.76933,48.42049,-32.833237,-67.74904,6.751322,-38.059803,0.78300667,-19.579836,-35.24755,-10.665182,-24.967587,-28.133255
-270.51743,3.6163473,46.705254,-33.666183,-68.16457,2.1476865,-37.30262,0.7133726,-21.906578,-37.7437,-9.616671,-25.598259,-27.256195
-271.9744,2.773481,41.778442,-31.410997,-65.204445,2.2884448,-35.990196,-0.33379242,-18.885742,-31.983929,-4.1286507,-16.66785,-26.153845
-270.55573,5.783619,39.4304,-35.90007,-68.12459,6.9829025,-35.691586,-2.2510111,-17.140152,-31.266808,-6.133518,-10.606558,-25.505192
-273.20953,6.8041244,39.780136,-39.828613,-72.31133,14.774445,-35.836773,-5.1332684,-15.058825,-29.57652,-11.465915,-14.200157,-28.45856
-274.08844,2.4486089,42.982742,-35.911,-71.56616,7.019183,-36.728226,-6.0585546,-19.141628,-30.314468,-8.302887,-17.868126,-29.30083
-270.42603,3.6224697,45.613483,-33.635765,-72.14395,0.500581,-40.31034,0.35035035,-23.609795,-36.40811,-11.263729,-24.963451,-28.65347
-272.78384,1.2181983,45.82617,-31.897057,-71.08687,-1.7538757,-42.171375,0.85030854,-21.79353,-35.86242,-14.047815,-24.78618,-28.276104
-274.45544,-0.5933552,43.395912,-35.595963,-67.90944,0.55466926,-40.51178,-4.3269606,-18.770699,-32.557686,-9.728432,-23.304882,-29.950066
-270.04965,5.1869774,45.393364,-36.561947,-71.98871,6.502861,-38.276108,-8.283423,-14.542148,-31.260143,-12.904508,-25.474934,-31.803177
-273.1215,2.295799,40.72014,-37.179893,-71.64249,8.731218,-36.458134,-10.116755,-16.961323,-29.894867,-11.129978,-22.863163,-34.30404
-274.93976,0.6345239,36.679382,-34.350227,-69.01317,4.656552,-34.912045,-3.9428825,-19.228825,-33.154377,-8.452552,-17.942905,-33.588806
-271.51404,-2.0099785,40.199303,-36.55554,-69.879,0.09371179,-35.32599,0.73886144,-16.773386,-35.431824,-8.174463,-21.309116,-30.382858
-277.01785,-6.3788347,42.436054,-33.969616,-73.62728,-0.54237884,-35.44368,-0.59139204,-13.558675,-32.7472,-11.113219,-19.63639,-27.071226
