MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Delta9,Delta10,Delta11,Delta12,Delta13,DeltaDelta1,DeltaDelta2,DeltaDelta3,DeltaDelta4,DeltaDelta5,DeltaDelta6,DeltaDelta7,DeltaDelta8,DeltaDelta9,DeltaDelta10,DeltaDelta11,DeltaDelta12,DeltaDelta13
-179.59738,-45.773342,22.67416,26.916111,-4.269911,17.49201,-12.090771,-12.652229,2.937038,-5.5395155,-1.0465658,10.039255,-6.0618153,-18.731838,-12.525665,3.7489722,5.099533,-3.0146809,1.3233141,3.1379967,-1.2135378,-0.32985702,1.6185344,0.77043664,0.3812834,1.2102959,-10.510668,11.116029,-4.3912296,-2.3588693,1.0561537,-0.81409043,-1.3074124,2.383608,1.5082316,-0.52507263,0.31356192,1.0638255,0.022374298
-224.68721,-33.387886,10.2806835,27.526192,-4.646906,20.71986,-7.7301197,-10.164341,4.2943497,0.070730165,2.0222478,11.3997,-0.46628076,-25.999762,-3.1811047,-0.5120336,4.228976,-2.5465682,0.7768069,2.4567153,0.40404576,1.3016855,1.2664846,0.7478402,1.3718414,0.5523603,-8.194102,4.8801003,-1.2497473,-2.3881948,1.4633203,0.22310145,-1.517643,1.8388107,0.53861594,0.19458441,0.28192523,-0.09449949,0.2859391
-280.7897,-26.885658,17.71724,23.560154,-8.098374,18.231655,-9.859114,-11.420147,-0.6989542,-0.20010579,6.6495743,12.122071,1.1823502,-34.11822,3.634444,-3.1253812,2.1348395,-1.5371544,0.18090473,1.6829093,1.8817902,1.5481908,1.3632222,1.2601895,1.5776184,0.8528351,-4.845789,-0.5358201,0.6649196,-0.21041644,0.66981554,0.8578588,-0.116131656,0.15903686,-0.08515465,0.37569964,0.09804325,-0.7138538,-0.5987674
-313.83865,-35.78409,22.633152,24.674744,-6.327122,20.381802,-11.342874,-6.65217,3.8766522,-0.28168845,4.479027,9.596376,-0.06375241,-41.896156,5.38074,-3.1131,1.3732513,-1.1816833,0.26719016,1.7950948,1.6523302,0.67888176,1.662409,1.5146538,0.8815741,1.0169497,-3.651673,0.4244101,0.03094729,0.3440426,0.051847924,-0.33945984,0.30299705,-0.60091937,-0.5870478,0.11399622,0.06874094,-0.59392005,-0.5739717
-339.25488,-40.692795,19.230259,28.155775,-4.4110975,24.449572,-10.552603,-1.5613885,8.59976,1.4053006,6.198552,13.558531,0.8341952,-49.231613,6.4801383,-2.0001612,0.21811415,-0.43070993,-0.60630125,2.264827,1.1088115,-0.018744063,1.6991682,1.4505603,-0.0758687,0.72714585,-6.40091,3.1593084,-0.60448784,-0.72818756,0.21342325,-1.4668595,1.1847181,-0.72954535,-0.81008506,-0.051365428,-0.12530518,-0.4592268,-0.011548338
-378.37524,-33.282784,14.357075,32.656326,-6.82885,27.0314,-9.33161,-0.95078695,10.886584,5.708639,5.76177,12.846958,-1.7735415,-52.500122,7.0010567,-1.4954039,-1.0900475,0.7372627,-1.6508472,2.5411177,1.3890544,-0.037353184,1.3044325,0.85816705,-0.62913376,0.5882889,-6.8701844,2.8836343,-0.3747833,-1.9121714,1.1318425,-1.5499439,0.9368578,-0.106127724,-0.5700569,-0.11274364,-0.3455296,-0.6531584,0.44963595
-435.28394,-20.337034,5.933551,35.876266,-9.488764,23.644913,-0.7165891,-2.5313945,7.8088703,6.9727006,10.294087,13.454361,-2.4262953,-52.171715,7.2106805,-2.051297,-2.2830992,1.549039,-2.2799873,2.8052971,1.5607679,0.023407191,1.0453429,0.29704818,-0.93475,0.7276656,-2.7651694,0.7504894,0.6286388,-2.4719346,1.1492428,-1.31088,0.019364782,0.114754945,-0.45324242,-0.55891204,-0.5037185,-0.5730129,0.42534375
-512.33954,1.4624312,1.2197567,33.181034,-12.369997,16.456429,1.1007676,-5.9026756,0.21957731,8.018038,12.251807,11.640209,3.229306,-49.592583,7.117366,-2.1032877,-3.6330984,1.7132269,-3.0502336,2.4882772,1.1882906,-0.52505004,0.5062293,-0.09678921,-1.2351059,0.7592745,4.8900647,-2.2370923,0.9800352,-1.940616,0.84477925,-0.54824734,-0.9262251,0.29429477,0.06295895,-0.8876674,-0.9010514,-0.5229542,-0.004581935
-608.95105,21.391357,7.428301,17.79324,-4.1176147,7.2260365,10.184391,-5.086028,-0.29443902,8.903542,10.896727,7.2420526,4.3054523,-43.728195,5.614287,-1.6702145,-4.71701,1.6711675,-3.5555677,1.6660804,0.8066778,-0.9187443,-0.2565025,-0.77260077,-1.7541027,0.49842227,11.961988,-4.0514107,0.5384475,-0.7760035,0.12146756,0.3080274,-1.5157834,0.13959534,0.33606026,-0.91479236,-0.90483177,-0.1444329,-0.44491392
-642.8103,11.707999,9.597204,9.317398,7.7173195,6.3752174,6.673194,5.788641,5.4569254,7.2677693,6.799115,4.626834,5.1843195,-34.370197,3.0596666,-1.1895013,-5.1454678,1.6376245,-3.4276967,0.6754968,0.6935599,-0.8987269,-0.9274124,-1.2740605,-1.8260518,0.26883247,15.269779,-3.9076874,-0.012335005,0.628791,-0.785759,0.9119337,-1.5144409,-0.3097277,0.29959792,-0.5751979,-0.64410245,0.07653371,-0.81606907
-648.29755,5.927107,5.9100556,5.8817663,5.8424244,5.7922935,5.731703,5.661054,5.5808,5.491475,5.3936343,5.2879043,5.1749396,-23.0516,0.44433415,-0.7943822,-4.7296166,1.3290838,-2.6771803,-0.389214,0.60530233,-0.5448114,-1.216289,-1.7086096,-1.7313232,-0.16416542,13.908796,-2.3912563,-0.48243016,1.6488389,-1.350377,0.9500762,-0.8180481,-0.7334587,-0.080545954,-0.23424394,0.019122314,0.35023326,-0.70329505
-650.3111,3.0839834,3.0802374,3.0739944,3.0652685,3.0540671,3.0404072,3.0243008,3.0057788,2.9848447,2.9615445,2.9358969,2.9079387,-11.906768,-1.6468989,-0.861939,-3.5011647,0.68506956,-1.7583481,-0.89153326,0.369481,-0.2659291,-1.3046833,-1.6694361,-1.3718618,-0.68111855,8.722988,-0.16194233,-0.35083756,1.7494664,-1.3135741,0.63102555,-0.2570133,-0.89407605,-0.44076568,0.14425609,0.44398102,0.39438668,-0.16389479
-652.10144,0.5529678,0.5520538,0.55053055,0.54840297,0.5456692,0.5423373,0.53840923,0.53389776,0.52878886,0.5231094,0.5168591,0.5100483,-3.563091,-2.2604604,-1.2234194,-1.899378,-0.35719362,-1.0444742,-1.2543494,-0.18947032,-0.48933998,-1.1897545,-1.2955511,-0.9393403,-0.76720977,2.615735,1.233788,0.35603312,0.98075724,-0.3703225,0.2982352,0.4837403,-0.4531559,-0.16551603,0.42191258,0.5384083,0.28704467,0.12079537
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.93448794,-1.1889042,-1.0471919,-1.0268902,-0.9179249,-0.8255259,-0.8418506,-0.7787456,-0.75192595,-0.8673997,-0.8303927,-0.6793284,-0.70980036,0.5982007,0.72563076,0.59754395,0.5803215,0.48298034,0.40117583,0.4186761,0.36441985,0.34358662,0.4525318,0.42325854,0.29067728,0.32348743
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
-652.4927,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.40179545,-0.5677719,-0.5664174,-0.5641685,-0.5610385,-0.5570452,-0.55221176,-0.54656565,-0.54013884,-0.53296685,-0.5250898,-0.5165504,-0.5073945,0.28052986,0.3963704,0.39529607,0.39351335,0.39103362,0.38787302,0.3840516,0.37959382,0.37452742,0.36888507,0.36270064,0.3560124,0.34886038
