MFCC1,MFCC2,MFCC3,MFCC4,MFCC5,MFCC6,MFCC7,MFCC8,MFCC9,MFCC10,MFCC11,MFCC12,MFCC13,Delta1,Delta2,Delta3,Delta4,Delta5,Delta6,Delta7,Delta8,Delta9,Delta10,Delta11,Delta12,Delta13,Chroma1,Chroma2,Chroma3,Chroma4,Chroma5,Chroma6,Chroma7,Chroma8,Chroma9,Chroma10,Chroma11,Chroma12
0.98596025,1.1407416,-1.3544925,-0.81585795,-1.4514463,-0.18375774,-0.31687978,0.0700385,1.1811095,1.1808133,-1.0829887,-0.7675384,-1.7074459,-0.16711012,-0.46074662,1.5220286,0.3534463,0.9262367,0.30995455,-0.9066172,0.98944217,-0.29320255,-0.33080426,-0.3188021,0.9312759,-0.51012516,-1.4395639,-1.4042971,-1.3625633,-1.3934271,-1.1883817,-1.0748433,1.3442309,-1.118783,-1.8114036,-1.7660619,-1.5719597,-1.4996752
0.78294814,1.1931069,-1.0568383,-0.8268979,-1.059067,0.11717873,-0.5824046,-0.45744878,0.5618828,0.30174747,-1.4126669,-1.9082175,-2.1343963,-0.23436603,-0.7286782,1.6975874,0.5901223,1.7351319,0.34612948,-1.2007139,1.2493395,-1.1346686,-1.4778544,-0.30167907,1.3595743,0.026776582,-0.98128784,-1.1280605,-1.2158417,-1.0604755,-0.23787192,-0.47850573,0.4108051,0.9655685,-0.80458134,-0.376332,-0.98786557,-1.1895441
0.5758198,1.1170012,-0.59844524,-0.8122372,-0.9163147,-0.45874956,-0.50312865,-0.6249534,0.58805174,0.82947266,-1.068832,-2.3124027,-1.6529175,-0.22075151,-0.71971387,1.7492559,0.4122281,1.8165652,0.24932359,-1.1220845,1.0185001,-1.424647,-1.9108583,-0.24058123,1.070921,-0.20468631,-0.6067208,-0.5094908,-0.6473099,-0.10419705,0.8562807,1.2902907,1.1854216,-0.22792962,-0.41375646,1.5357382,0.33470654,-0.8784249
0.6655451,0.5292288,0.54462874,-0.8016971,0.09215851,0.037173048,-1.3715647,0.9820915,-0.6524678,0.23804875,-1.3118855,-0.13570237,-1.3165421,-0.20941566,-0.70980555,1.5537213,0.30251402,1.5099207,0.19699992,-0.7636735,0.693268,-1.6522069,-1.9777371,-0.17940111,0.5849799,-0.4917849,-0.29463002,-0.5945216,-0.16002928,0.035811692,-0.35763648,0.06773823,0.008628532,0.9655685,0.032167457,-0.40588722,0.59908646,-0.20928192
0.9708331,0.41857746,0.82740813,-0.719358,0.10294892,0.4484547,-1.9714384,1.6376871,-1.8093685,-1.5006566,-1.518299,0.47504866,-1.6010063,-0.2536084,-0.68540066,1.3021282,0.3536293,0.94058955,0.19084945,-0.2517096,0.47531205,-1.3495258,-1.2990701,0.23474267,0.47786096,0.13888563,-0.18983193,-0.52961326,-0.6549495,-0.5267216,-0.6002313,-0.6858875,-0.9342865,0.9655685,0.29353648,-0.8933755,-0.3292561,-0.11435691
0.971245,0.56835884,0.7153446,-0.8016334,-0.1179349,0.31818363,-1.6539608,1.5124991,-1.5396854,-1.5191087,-1.5794044,-0.022147525,-1.6937543,-0.36961702,-0.5609139,0.89387363,0.58633506,0.6146146,0.02619557,0.49040347,0.23845506,-0.7659092,-0.4132319,0.7652794,0.32580134,0.6177847,-0.39012945,-0.8015206,-0.6182009,-0.57104856,-0.39989698,-0.37828237,-0.37126237,0.9655685,1.0482848,0.49721465,-0.13756733,0.063077465
0.7680441,0.6274978,0.43817708,-0.79517657,-0.25870696,0.1386417,-1.3303847,0.6132569,-0.7481563,-0.96762246,-1.3980856,-0.1291295,-1.7354033,-0.55870503,-0.39787284,0.37021,0.81108665,0.40693763,0.0803464,1.0778846,-0.16951413,-0.12607616,0.00816327,1.1910862,-0.14981298,1.0311775,-0.917751,-1.1732414,-1.0192652,-0.9955363,-1.0413127,-1.6996171,-1.6896554,0.36933234,1.2701885,0.31470996,-0.8205984,-0.7633387
0.52289337,0.51380885,0.43777812,-0.47474554,-0.09680051,0.15367281,-0.9381301,0.26122564,-1.1075814,-1.1721089,-0.82231,-0.88830894,-2.0927715,-0.7858635,-0.30148253,-0.22857927,1.0872877,0.05229033,-0.044555943,1.445083,-0.7102269,0.8819852,0.57213026,1.4637945,-0.9597991,1.8469298,-0.7721477,-0.8871132,-0.82168156,-0.90771973,-0.97292,-1.4878472,-1.1569295,0.17865625,1.2701885,0.15904136,-1.0859679,-1.067905
0.29414397,0.46316624,0.7628086,-0.2084678,-0.1654834,0.07649601,-0.3496139,0.4832794,-0.7564253,-0.47943747,-0.59771085,-1.1569687,-1.210062,-0.85176253,-0.4707338,-0.48987383,1.0320187,-0.053433947,-0.11979687,1.1876819,-0.747016,1.4193635,0.77111953,0.9043152,-1.0264645,2.5019152,-0.16077827,-0.36832088,-0.3435132,-0.6327842,-0.45718268,0.10106701,1.0121063,0.8280155,1.2701885,0.5321912,-0.26695523,-0.52122873
0.092258245,0.4756898,0.72170925,0.055301122,0.081622876,-0.23068403,0.1962592,0.1505041,-0.8784912,0.5004325,-0.19195138,-1.1441962,-0.68294805,-0.49312952,-0.090803,-0.5968877,0.22358876,-0.6508846,-0.07466903,0.7365931,-0.7447826,0.94049877,0.7397857,0.733504,-0.54576534,2.049691,0.17417112,-0.72226536,-0.85205036,-0.97193724,-1.0064858,-0.6242504,-0.3900218,0.9655685,-0.5646235,-1.4104705,-1.075894,-0.09439916
-0.07246548,0.32410526,0.54345834,0.26639912,0.2520469,0.20824693,0.2283523,0.19325523,-0.45863554,-0.011947936,0.21542555,-0.6472051,-0.025655212,0.0031831316,0.4853831,-0.7966165,-0.51028186,-1.3070645,-0.038943585,0.57648045,-0.48314548,0.5956914,0.65739113,0.4109326,-0.37721792,1.544665,1.2561368,-0.22971494,-0.7254636,-0.71038234,-0.75808483,-0.53057635,-0.7200083,0.7003513,1.2701885,0.40836325,-0.65343666,-0.21298406
-0.12902589,0.06345377,0.15883031,0.65394163,0.056463517,0.2743069,-0.27790526,0.071361,0.306286,-0.30764303,-0.13988408,-0.6893194,0.7136601,0.38811985,0.94382304,-1.0718547,-1.0797911,-1.6307899,-0.07341382,0.5850244,-0.09799036,0.68089426,0.8652585,0.42514783,0.111659795,1.0210121,2.0303204,0.00030911193,-0.46985146,-0.40585488,-0.09541319,0.36684054,0.47364283,0.6129498,1.0478197,1.2436185,-0.09933674,0.83581465
0.01303915,-0.017352132,-0.12960209,0.15337838,-0.37674138,0.02533146,-0.86525404,0.11177981,0.44081396,-0.9851291,-1.4113927,-1.086835,0.5596024,0.5774164,1.1208999,-1.1290886,-1.3002064,-1.5776275,-0.16534118,0.47829092,0.26291177,0.36221007,0.91130817,0.5132962,0.40297446,0.20444803,0.34835866,-0.5200276,-0.5731393,-0.3831671,-0.0946753,0.22276257,0.056679882,0.67919886,0.6728681,1.5357382,0.2177598,0.51583296
