Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12
0.3664219,0.2948705,0.25239712,0.23788662,0.2573025,0.23542498,0.23228283,0.2663486,0.27683094,0.2820535,0.33348802,0.38021296
0.19298114,0.22118233,0.27966022,0.34782448,0.41002256,0.39088145,0.34259316,0.30048153,0.256459,0.22191676,0.19637088,0.18027535
0.20848192,0.20708494,0.2579987,0.3132945,0.3798836,0.38939226,0.37435067,0.30988213,0.24907368,0.23712018,0.22592542,0.21800266
0.26698232,0.27661687,0.3262631,0.3091288,0.34605604,0.35981628,0.34382474,0.2897001,0.19722949,0.20050828,0.2295892,0.2588762
0.18586205,0.22274233,0.31062782,0.3232433,0.39665893,0.4034002,0.39970317,0.3384411,0.19846793,0.15915279,0.16181354,0.17201015
0.131148,0.18392104,0.27948004,0.30970007,0.43265918,0.46268594,0.455148,0.33803874,0.1499483,0.09600055,0.09752263,0.105055176
0.11209127,0.1535297,0.24757259,0.29331544,0.4600923,0.49639583,0.4589208,0.32935426,0.1315736,0.08129921,0.08665114,0.08906302
0.10995226,0.16308446,0.28380775,0.32496703,0.46144232,0.4770054,0.44600818,0.31897038,0.12398489,0.07288898,0.07681446,0.08631069
0.13035277,0.1936016,0.328775,0.34351388,0.45320043,0.45402476,0.4258504,0.303155,0.118611544,0.0728763,0.07869561,0.09528099
0.13443212,0.20109253,0.34184438,0.334374,0.44177788,0.44870034,0.42992643,0.3092443,0.12279758,0.07537488,0.07982784,0.093406096
0.13937964,0.2142283,0.35079956,0.3365828,0.44137928,0.44653365,0.4214832,0.301562,0.120952345,0.07493884,0.08009491,0.09420707
0.13623801,0.21058758,0.3517287,0.33859104,0.44236487,0.44660544,0.4209147,0.30071,0.12137839,0.07546694,0.08137422,0.09458655
0.13156387,0.20182395,0.3453333,0.34089068,0.44398385,0.4472947,0.42332622,0.30451587,0.123023115,0.07790745,0.08409707,0.09534542
0.13583091,0.2069762,0.34267402,0.3358323,0.44760326,0.45126954,0.42200533,0.30041558,0.11795397,0.07620484,0.08384861,0.09705726
0.12646404,0.1952624,0.3408222,0.33652163,0.4432317,0.45007685,0.4312263,0.30862385,0.12421587,0.077059984,0.08023968,0.09186078
0.12893584,0.20477869,0.34642982,0.33630478,0.44295788,0.44867796,0.42667422,0.30704442,0.122341745,0.07518357,0.07703408,0.08900339
0.12903447,0.20545322,0.34802067,0.3360187,0.44952765,0.45317057,0.4214261,0.29837546,0.1184262,0.07363276,0.07686843,0.087693535
0.124099225,0.19284967,0.33419046,0.33666763,0.44963884,0.4564942,0.4308359,0.30544806,0.11963846,0.07255906,0.07569228,0.087133914
0.12807052,0.2012557,0.32614994,0.32749698,0.449588,0.45990187,0.43324578,0.30908749,0.12159511,0.07109923,0.0736838,0.08555808
0.123995334,0.18762587,0.32334498,0.3334079,0.45589325,0.4636544,0.43045077,0.30468613,0.11957183,0.070870444,0.07603888,0.087586336
0.12412099,0.19022301,0.32109484,0.33366266,0.45015797,0.4595362,0.4357301,0.31235674,0.12203383,0.07079149,0.07412548,0.0856454
0.12342804,0.18998647,0.321418,0.32470658,0.44852585,0.46162063,0.4391296,0.31465596,0.1256337,0.07292142,0.07393343,0.08512922
0.12833078,0.19897227,0.33342004,0.3331087,0.4492707,0.45659792,0.42892364,0.3059478,0.12115801,0.07413358,0.077372715,0.08799988
0.1322519,0.20366956,0.33034378,0.3301661,0.4423937,0.4539043,0.43508735,0.31207147,0.123049684,0.07490328,0.07634182,0.08877356
0.18784472,0.27136147,0.33451062,0.337356,0.39608175,0.39737365,0.39918315,0.31851318,0.19954157,0.1380486,0.113040514,0.13466279
0.26833427,0.28665265,0.29806632,0.29649422,0.31355214,0.29501536,0.29851413,0.29302657,0.29536685,0.27304897,0.27137327,0.27075732
0.2599064,0.24759354,0.24198067,0.31677055,0.44461545,0.25729778,0.18335989,0.21549399,0.304704,0.2861918,0.31864738,0.30334458
